,City,City ID,Date,Max Temperature,Cloudiness,Humidity,Wind Speed,Latitude,Longitude
324,Padang,1633419,1552089600,25.0,20,94,1.0,-0.92,100.36
325,Lanzhou,1804430,1552089600,-8.0,0,85,2.0,36.06,103.82
326,Sao Felix do Xingu,3388847,1552092318,24.63,0,92,0.97,-6.64,-51.99
327,Lugovoy,1498919,1552092398,-4.4,68,81,4.82,59.72,65.88
328,Manadhoo,1337618,1552092398,27.58,80,100,1.87,5.77,73.38
329,Natal,3394023,1552089600,28.0,20,78,5.1,-5.81,-35.21
330,Kokopo,2093685,1552092398,26.75,32,100,1.27,-4.34,152.27
331,Laerdalsoyri,3148569,1552092309,-6.67,68,75,1.34,61.1,7.48
332,Lasa,146639,1552092319,10.0,20,87,3.6,34.92,32.53
333,Nalut,2214433,1552092399,12.33,32,38,3.82,31.86,10.98
334,Bonthe,2409914,1552092399,25.88,0,90,2.17,7.53,-12.5
335,Ambon,3037899,1552092382,11.11,90,100,3.6,47.55,-2.56
336,Severo-Kurilsk,2121385,1552092399,-1.0,64,97,6.92,50.68,156.12
337,Shubarshi,608270,1552092399,-7.08,80,81,3.32,48.59,57.19
338,Taltal,3870243,1552092400,17.85,80,71,1.12,-25.41,-70.49
339,Sibu,1735902,1552089600,25.0,75,94,1.0,2.29,111.83
340,Bulaevo,1525014,1552092400,-13.98,0,78,4.42,54.91,70.44
341,Thung Song,1150085,1552089600,21.0,20,100,0.72,8.16,99.67
342,Port Hedland,2063042,1552089600,32.0,0,62,2.1,-20.31,118.58
343,Harper,4696310,1552092381,25.56,1,69,3.6,30.3,-99.24
344,Barcelos,2742416,1552092363,11.11,75,93,0.77,41.53,-8.62
345,Opelousas,4336153,1552092344,21.11,90,83,4.1,30.53,-92.08
346,Vanavara,2013727,1552092272,-6.83,0,59,4.57,60.35,102.28
347,San Rafael,3836669,1552092402,14.9,92,48,2.27,-34.61,-68.33
348,Tuatapere,2180815,1552092252,16.58,92,81,1.12,-46.13,167.69
349,Praia,3460954,1552089600,26.0,0,61,2.6,-20.25,-43.81
350,Nemuro,2128975,1552089600,0.0,0,91,5.1,43.32,145.57
